rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,features_normalization_rebalancing_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,3,74.84316563606262,success,0.23431992530822754,0.12_0.12_0.13_0.1_0.37,0.74_0.73_0.74_0.74_0.68,14.386634016036988,0.169037066470567,0.9,0.32,0.62,0.18,0.99,0.36,0.7252816874649136,1746729511.5582101,,MLPClassifier,sgd,50,,20,,,,,,,invscaling,,,0.001,logistic
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,31.05119276046753,fail,0.030714893341064455,0.84_0.42_0.36_nan_0.81,0.52_0.51_0.51_0.5_0.51,6.100877952575684,-inf,0.75,0.78,0.65,0.77,0.89,0.9,0.5104228055732489,1746729436.611069,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,6,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,0.1,,PCA,5,,0.000415802001953125,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746729405.456628,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,1,15.861317873001099,success,1.5443454265594483,0.17_0.38_0.3_0.07_0.29,0.57_0.59_0.59_0.54_0.59,0.019828271865844727,0.2429414790595013,0.8,0.42,0.53,0.26,0.86,0.36,0.5759113500170017,1746729405.3511102,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,0.1,,PCA,2,,0.00045800209045410156,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746729389.3892174,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,2.0,,FunctionTransformer,,,145.07182002067566,success,0.03565964698791504,0.76_0.32_0.44_0.49_0.63,0.52_0.5_0.49_0.5_0.5,28.852851486206056,0.5299156487485028,0.78,0.75,0.88,0.8,0.64,0.65,0.5005440830020186,1746729389.2721064,,MLPClassifier,sgd,10,,5,,,,,,,invscaling,,,1e-05,logistic
SMOTE,,8,rebalancing_features_mitigation_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,8,5.025576114654541,success,0.3996901988983154,0.19_0.15_0.18_0.13_0.15,0.71_0.74_0.73_0.76_0.74,0.12403054237365722,0.16059419050348048,0.71,0.3,0.39,0.16,1.0,0.43,0.7363379607403877,1746729242.9675927,distance,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,
SMOTE,,7,features_normalization_rebalancing_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,0.5,10,0.1,,SelectKBest,,8,270.2402687072754,success,0.04232292175292969,0.59_0.17_0.29_0.55_0.65,0.7_0.78_0.8_0.77_0.7,53.93833155632019,0.44942042665084203,0.86,0.56,0.58,0.49,1.0,0.63,0.7510673466573913,1746729237.8226779,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,6,rebalancing_features_normalization_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,15.041436910629272,success,1.397536563873291,0.1_0.09_0.1_0.11_0.06,0.75_0.76_0.76_0.76_0.76,0.1889962673187256,0.09210225153515425,0.73,0.21,0.4,0.09,1.0,0.51,0.7577897674051641,1746728967.4788728,uniform,KNeighborsClassifier,,,7,,,,manhattan,,,,,,,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.5599555969238281,success,0.054107952117919925,0.56_0.73_0.7_0.71_0.7,0.57_0.57_0.57_0.57_0.57,0.1508619785308838,0.6806048624915654,1.0,0.71,0.88,0.85,0.88,0.76,0.5696479534288327,1746728952.3341737,distance,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,6,,72.02159857749939,success,0.014243888854980468,0.18_0.06_0.08_0.11_0.08,0.73_0.74_0.74_0.75_0.73,14.323146772384643,0.10099559764952826,0.95,0.26,0.44,0.11,0.98,0.19,0.7383950107803582,1746728950.6685796,,MLPClassifier,adam,5,,10,,,,,,,invscaling,,,1e-05,logistic
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.061938524246216,success,0.018854475021362303,0.02_0.03_0.02_0.02_0.01,0.7_0.7_0.71_0.7_0.7,0.7200787544250489,0.020189644320076895,0.49,0.03,0.26,0.02,1.0,0.05,0.7021554062130402,1746728878.5464206,,RandomForestClassifier,,,,,50,4,,5,4,5,,gini,False,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,False,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,8,12.070081233978271,success,0.3698172092437744,0.67_0.63_0.67_0.64_0.61,0.52_0.54_0.51_0.54_0.52,1.6131799221038818,0.6453325478168109,0.65,0.93,0.71,0.94,0.79,0.9,0.5273323446214777,1746728874.3796203,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
NearMiss,1,,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,50,0.1,,SelectKBest,,5,1.2870533466339111,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746728862.2160757,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
NearMiss,4,,mitigation_features_rebalancing_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,200,0.5,,SelectKBest,,3,36.28471374511719,success,0.027608728408813475,0.38_0.31_0.85_0.93_0.8,0.53_0.51_0.51_0.5_0.5,4.9324541091918945,0.6545804640727443,0.79,0.81,0.65,0.79,0.89,0.97,0.5092301779469391,1746728859.59952,,MLPClassifier,adam,10,,5,,,,,,,invscaling,,,0.001,logistic
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,SelectKBest,,5,13.272802591323853,success,0.009832143783569336,0.14_0.12_0.14_0.15_0.14,0.77_0.77_0.78_0.78_0.77,2.580325984954834,0.13738762330724233,0.91,0.25,0.57,0.14,0.99,0.24,0.7742502161271972,1746728823.2117126,,MLPClassifier,sgd,10,,1,,,,,,,constant,,,0.001,logistic
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,1.0,,PCA,4,,137.64883494377136,success,0.032359886169433597,0.24_0.42_0.35_0.59_0.32,0.66_0.67_0.71_0.7_0.63,27.413977336883544,0.3843354223574922,0.99,0.55,0.82,0.5,0.85,0.4,0.6730781431789664,1746728809.8465037,,RandomForestClassifier,,,,,50,6,,4,2,1,,entropy,False,,
SMOTE,,7,rebalancing_normalization_mitigation_features_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,3.563272714614868,success,0.26468515396118164,0.19_0.14_0.15_0.14_0.14,0.72_0.74_0.76_0.76_0.74,0.11231417655944824,0.1530226756909888,0.74,0.26,0.41,0.15,1.0,0.35,0.7466734365124662,1746728672.111313,distance,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,
NearMiss,1,,features_normalization_rebalancing_mitigation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,SelectKBest,,9,326.4592795372009,success,0.1702718734741211,0.31_0.3_0.3_0.33_0.3,0.77_0.77_0.78_0.79_0.77,64.85441379547119,0.3070541297996475,0.79,0.37,0.53,0.32,1.0,0.48,0.7784097470011012,1746728668.4567056,,MLPClassifier,lbfgs,25,,10,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,21.221726417541504,success,0.03238964080810547,0.87_0.64_0.77_0.56_0.67,0.52_0.51_0.52_0.49_0.51,4.126433038711548,0.7029626522832336,0.89,0.91,0.84,0.92,0.88,0.86,0.511192160163788,1746728341.9127388,,RandomForestClassifier,,,,,50,6,,3,4,3,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,100,0.1,,FunctionTransformer,,,18.902223587036133,fail,0.12525463104248047,nan_nan_nan_nan_1.0,0.5_0.5_0.5_0.5_0.5,3.4473567485809324,-inf,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1746728320.587136,,MLPClassifier,adam,10,,10,,,,,,,adaptive,,,0.001,logistic
