rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,mitigation_normalization_features_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,50,1.0,,PCA,3,,5.469211101531982,success,0.009761953353881836,0.84_0.74_0.83_0.9_0.54,0.56_0.57_0.53_0.51_0.52,1.0602814197540282,0.7704031187299819,0.8,1.0,0.84,0.87,0.5404761904761904,1746721763.0126371,,RandomForestClassifier,,,,,50,2,,2,1,2,,entropy,False,,
SMOTE,,6,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.1,,SelectKBest,,8,888.7726783752441,success,0.04998669624328613,0.91_0.68_0.82_0.51_0.74,0.53_0.59_0.54_0.5_0.52,177.16620287895202,0.7284385313363779,0.78,1.0,0.77,0.88,0.5352380952380952,1746721756.8467557,,MLPClassifier,lbfgs,50,,20,,,,,,,constant,,,0.01,logistic
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,8,,1.1027915477752686,success,0.009943008422851562,0.51_0.61_0.47_0.85_0.45,0.71_0.62_0.71_0.66_0.73,0.1856072425842285,0.5778188554614594,1.0,0.71,0.58,0.86,0.6876190476190476,1746720867.5987678,,RandomForestClassifier,,,,,100,2,,5,1,5,,entropy,True,,
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,0.28974270820617676,success,0.004486846923828125,0.2_0.33_0.57_0.54_0.16,0.7_0.71_0.7_0.62_0.67,0.0348412036895752,0.3598436509726832,0.78,1.0,0.38,0.7,0.6788095238095238,1746720858.5409617,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
NearMiss,1,,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,PCA,3,,0.0004246234893798828,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746720857.7868292,,RandomForestClassifier,,,,,25,6,,2,2,2,,gini,True,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,10,1.0,,FunctionTransformer,,,6.320136785507202,success,0.006135463714599609,0.42_0.48_0.69_0.48_0.38,0.55_0.54_0.54_0.54_0.5,1.2324414253234863,0.4894065544949175,0.68,0.9,0.63,0.79,0.5342857142857144,1746720857.314743,,MLPClassifier,lbfgs,25,,5,,,,,,,adaptive,,,0.001,tanh
FunctionTransformer,,,features_normalization_mitigation_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,2.0,,SelectKBest,,8,3.9129979610443115,fail,0.004308319091796875,,,0.77422194480896,-inf,-inf,-inf,-inf,-inf,-inf,1746720850.522419,,RandomForestClassifier,,,,,10,4,,4,2,3,,entropy,True,,
NearMiss,4,,normalization_features_rebalancing_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.5,,SelectKBest,,4,0.05145621299743652,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746720846.1407137,,RandomForestClassifier,,,,,75,4,,4,2,4,,gini,True,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,0.0003142356872558594,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746720845.6260166,,RandomForestClassifier,,,,,10,5,,2,3,3,,entropy,False,,
NearMiss,2,,rebalancing_normalization_features_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,2,,0.0005052089691162109,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746720845.1642969,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
