rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,features_mitigation_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,900.0014843940735,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746725851.194314,,MLPClassifier,adam,50,,20,,,,,,,constant,,,0.01,tanh
SMOTE,,8,rebalancing_normalization_features_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,4,3.255441427230835,success,0.005948638916015625,0.3_0.26_0.38_0.37_0.21,0.68_0.69_0.69_0.69_0.67,0.5945643901824951,0.302767944024921,0.48,0.6,0.65,1.0,0.31,0.58,0.69,0.682443268888778,1746724950.9473379,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,2.0,,SelectKBest,,10,78.47429323196411,success,0.03189973831176758,0.49_0.69_0.75_0.89_0.27,0.62_0.62_0.63_0.55_0.62,14.21453218460083,0.6174814491405459,0.81,0.76,0.84,0.97,0.68,0.91,0.8,0.6077264686764038,1746724947.4506087,,MLPClassifier,lbfgs,50,,1,,,,,,,constant,,,0.01,relu
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,1,1.6773245334625244,success,0.008492136001586914,0.42_0.34_0.32_0.21_0.25,0.63_0.64_0.62_0.64_0.62,0.264981746673584,0.3079786218277537,0.37,0.58,0.61,1.0,0.31,0.72,0.87,0.6285187882117163,1746724868.733678,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.0001,logistic
FunctionTransformer,,,rebalancing_features_normalization_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,0.4596102237701416,success,0.008189821243286132,0.41_0.28_0.23_0.17_0.04,0.66_0.66_0.67_0.68_0.65,0.04750733375549317,0.22604940343010446,0.47,0.54,0.6,1.0,0.23,0.49,0.55,0.6674747842762002,1746724866.81735,,RandomForestClassifier,,,,,10,4,,3,3,3,,gini,True,,
NearMiss,1,,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,SelectKBest,,6,0.7138433456420898,success,0.018546295166015626,0.5_0.5_0.49_0.69_0.64,0.65_0.64_0.63_0.64_0.65,0.06203980445861816,0.5641756435178242,0.89,0.82,0.75,0.98,0.58,0.71,0.71,0.6425864338827074,1746724866.1166642,distance,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,0.9424183368682861,success,0.01097102165222168,0.27_0.31_0.11_0.17_0.23,0.65_0.65_0.65_0.66_0.64,0.13778486251831054,0.21737131159968745,0.3,0.34,0.3,1.0,0.27,0.26,0.36,0.6498345922646711,1746724861.8403196,,RandomForestClassifier,,,,,50,2,,5,1,5,,gini,False,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.6395697593688965,success,0.267854642868042,0.31_0.26_0.39_0.45_0.15,0.67_0.68_0.66_0.7_0.66,0.15917611122131348,0.3129663299281355,0.59,0.52,0.61,1.0,0.37,0.49,0.47,0.6732873728055131,1746724860.6636395,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.399505615234375,success,0.3587928771972656,0.22_0.42_0.46_0.53_0.36,0.65_0.66_0.65_0.67_0.63,0.13875870704650878,0.39653977542871405,0.54,0.55,0.62,1.0,0.4,0.54,0.56,0.6536438021601224,1746724856.791633,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,1.431579828262329,success,0.012090206146240234,0.31_0.33_0.38_0.2_0.2,0.68_0.67_0.67_0.7_0.68,0.2338102340698242,0.28439297771520283,0.45,0.57,0.57,1.0,0.28,0.5,0.73,0.6789004657199051,1746724852.1598818,,RandomForestClassifier,,,,,75,3,,4,2,3,,entropy,False,,
