rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,7,,9.5367431640625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746702389.719877,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,6.9141387939453125e-06,already_evaluated,0.033864927291870114,0.67_0.39_0.67_0.7_0.47,0.47_0.49_0.48_0.5_0.49,3.7293078899383545,0.5804181465104596,0.74,0.68,1.0,0.72,0.65,0.66,0.48802185227018774,1746702389.767994,,RandomForestClassifier,,,,,50,6,,5,4,5,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.1920928955078125e-05,already_evaluated,0.015064001083374023,0.13_0.1_0.1_0.1_0.09,0.78_0.77_0.77_0.77_0.76,17.228563499450683,0.1055493860755721,0.75,0.24,0.45,0.11,1.0,0.31,0.7684281347363362,1746702389.8258388,,MLPClassifier,adam,5,,10,,,,,,,invscaling,,,0.0001,relu
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,5.4836273193359375e-06,already_evaluated,0.025909900665283203,0.04_0.03_0.04_0.02_0.02,0.78_0.78_0.78_0.79_0.78,1.4829492568969727,0.03233984371193929,0.99,0.09,0.49,0.04,0.96,0.06,0.7824888166435142,1746702389.886902,,RandomForestClassifier,,,,,75,2,,6,2,5,,gini,False,,
SMOTE,,6,normalization_features_rebalancing_mitigation_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,1.0013580322265625e-05,already_evaluated,0.2318361759185791,0.19_0.13_0.17_0.2_0.11,0.71_0.75_0.73_0.73_0.74,0.15948429107666015,0.16083424890571377,0.77,0.29,0.44,0.16,1.0,0.41,0.731797223922227,1746702389.940694,distance,KNeighborsClassifier,,,7,,,,manhattan,,,,,,,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,6.198883056640625e-06,already_evaluated,0.11167802810668945,0.04_0.05_0.03_0.03_0.22,0.72_0.71_0.72_0.71_0.65,27.39348998069763,0.07337498109126647,0.67,0.14,0.34,0.07,1.0,0.16,0.7010402978055661,1746702389.9947498,,MLPClassifier,sgd,10,,20,,,,,,,constant,,,0.001,logistic
SMOTE,,6,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.5,50,0.5,,PCA,4,,9.775161743164062e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746702390.0496302,,RandomForestClassifier,,,,,50,2,,6,3,4,,gini,True,,
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,7.3909759521484375e-06,already_evaluated,0.010850954055786132,0.0_0.02_0.0_0.02_0.02,0.73_0.74_0.73_0.76_0.75,0.21462254524230956,0.011917845514529143,0.84,0.02,0.47,0.01,1.0,0.01,0.7426354641992484,1746702390.1111495,,RandomForestClassifier,,,,,10,4,,4,3,3,,gini,True,,
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,200,0.5,,FunctionTransformer,,,8.821487426757812e-06,already_evaluated,0.042104673385620114,0.39_0.79_0.7_0.55_0.61,0.51_0.51_0.52_0.51_0.51,5.830690717697143,0.6075026659276762,0.8,0.82,0.68,0.83,0.92,0.83,0.5125786261147111,1746702390.1679163,,RandomForestClassifier,,,,,50,4,,5,4,5,,gini,True,,
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,100,0.1,,SelectKBest,,8,9.059906005859375e-06,already_evaluated,0.05183253288269043,0.39_0.71_0.56_0.6_0.25,0.53_0.5_0.52_0.5_0.5,5.783195924758911,0.503741156377161,0.71,0.74,0.58,0.71,0.87,0.89,0.5091969624594698,1746702390.2269795,,RandomForestClassifier,,,,,100,4,,4,1,4,,gini,False,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,7.3909759521484375e-06,already_evaluated,0.03545823097229004,0.61_nan_0.68_0.68_0.62,0.53_0.5_0.52_0.5_0.5,5.184994840621949,-inf,0.82,0.86,0.66,0.82,0.94,0.94,0.5096514780595108,1746702390.2866485,,RandomForestClassifier,,,,,100,6,,5,1,1,,entropy,False,,
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,7.62939453125e-06,already_evaluated,0.1880040168762207,0.14_0.17_0.2_0.19_0.17,0.65_0.66_0.65_0.67_0.66,0.23982372283935546,0.17418499286369477,0.25,0.17,0.56,0.33,1.0,0.88,0.656348551170668,1746702390.3474753,distance,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,10,0.5,,PCA,7,,6.198883056640625e-06,already_evaluated,0.028529882431030273,0.34_0.14_0.69_0.75_0.74,0.51_0.5_0.51_0.51_0.51,4.842411899566651,0.5322501935397144,0.84,0.86,0.56,0.79,0.92,0.73,0.5084827440909512,1746702390.4093335,,RandomForestClassifier,,,,,25,4,,5,4,5,,gini,True,,
NearMiss,4,,mitigation_rebalancing_features_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,10,0.1,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.03937554359436035,0.41_0.76_0.63_0.55_0.62,0.52_0.51_0.51_0.5_0.51,5.6597754001617435,0.5941660873613155,0.85,0.86,0.74,0.89,0.83,0.79,0.5111778490780583,1746702390.4708605,,RandomForestClassifier,,,,,100,4,,3,4,5,,entropy,True,,
