rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,200,0.1,,PCA,6,,5.337978363037109,success,0.008213281631469727,0.82_0.6_0.79_0.77_0.74,0.57_0.54_0.54_0.55_0.52,1.036743450164795,0.7435113789567771,0.76,0.96,0.85,0.87,0.545952380952381,1746692491.1391227,,MLPClassifier,lbfgs,5,,5,,,,,,,adaptive,,,1e-05,logistic
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,,True,,False,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.37758851051330566,success,0.029848003387451173,0.79_0.79_0.81_0.89_0.83,0.61_0.63_0.61_0.6_0.59,0.004989004135131836,0.8226556292116065,0.93,1.0,0.89,0.86,0.6073809523809525,1746692485.5628572,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,PCA,4,,0.4947845935821533,success,0.013309717178344727,0.0_0.0_0.0_0.16_0.0,0.56_0.54_0.53_0.55_0.55,0.05908889770507812,0.03166666666666667,0.82,0.98,0.03,0.87,0.5457142857142857,1746692484.9537344,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,0.8621294498443604,success,0.07563695907592774,0.9_0.9_0.97_0.92_0.89,0.56_0.58_0.52_0.54_0.52,0.004740619659423828,0.9156455687306562,0.95,1.0,0.95,0.94,0.5442857142857143,1746692484.228755,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,100,1.0,,FunctionTransformer,,,4.232325792312622,success,0.006102418899536133,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.8205818176269531,1.0,1.0,1.0,1.0,1.0,0.5,1746692483.1377165,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.01,tanh
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,2.0,,FunctionTransformer,,,5.749919652938843,success,0.006472206115722657,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,1.1168127536773682,1.0,1.0,1.0,1.0,1.0,0.5,1746692478.6762676,,MLPClassifier,sgd,5,,10,,,,,,,invscaling,,,0.01,tanh
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,SelectKBest,,1,0.48786091804504395,success,0.0025117874145507814,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.07770442962646484,1.0,1.0,1.0,1.0,1.0,0.5,1746692472.699293,,MLPClassifier,sgd,10,,10,,,,,,,invscaling,,,1e-05,logistic
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,6,0.26732325553894043,success,0.005129623413085938,0.41_0.76_0.85_0.54_0.44,0.65_0.63_0.7_0.66_0.7,0.025011825561523437,0.6007425722425722,0.88,0.89,0.63,0.85,0.6704761904761904,1746692468.5286243,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,3,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,2,0.5466327667236328,success,0.005026769638061523,0.0_0.0_0.13_0.0_0.0,0.61_0.62_0.55_0.59_0.54,0.08003072738647461,0.025714285714285717,0.82,0.89,0.03,0.94,0.584047619047619,1746692468.0353403,,RandomForestClassifier,,,,,25,4,,6,3,3,,entropy,True,,
NearMiss,4,,normalization_mitigation_rebalancing_features_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,1,1.214277744293213,success,0.004893445968627929,0.82_0.6_0.9_0.44_0.27,0.64_0.61_0.56_0.53_0.56,0.2051107406616211,0.6072986675946132,0.74,1.0,0.64,0.89,0.5788095238095238,1746692467.2623303,,MLPClassifier,adam,50,,5,,,,,,,constant,,,0.0001,relu
