rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__type,classification__solver,classification__n_neurons,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,200,0.1,,PCA,6,,7.152557373046875e-06,already_evaluated,0.008213281631469727,0.82_0.6_0.79_0.77_0.74,0.57_0.54_0.54_0.55_0.52,1.036743450164795,0.7435113789567771,0.76,0.96,0.85,0.87,0.545952380952381,1746694686.764849,MLPClassifier,lbfgs,5,5,,,,,,adaptive,,,1e-05,logistic
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,100,1.0,,FunctionTransformer,,,5.245208740234375e-06,already_evaluated,0.006102418899536133,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.8205818176269531,1.0,1.0,1.0,1.0,1.0,0.5,1746694686.776576,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.01,tanh
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,6,4.0531158447265625e-06,already_evaluated,0.005129623413085938,0.41_0.76_0.85_0.54_0.44,0.65_0.63_0.7_0.66_0.7,0.025011825561523437,0.6007425722425722,0.88,0.89,0.63,0.85,0.6704761904761904,1746694686.7901433,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
NearMiss,3,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,2,3.5762786865234375e-06,already_evaluated,0.005026769638061523,0.0_0.0_0.13_0.0_0.0,0.61_0.62_0.55_0.59_0.54,0.08003072738647461,0.025714285714285717,0.82,0.89,0.03,0.94,0.584047619047619,1746694686.8057766,RandomForestClassifier,,,,25,4,6,3,3,,entropy,True,,
NearMiss,4,,normalization_mitigation_rebalancing_features_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,1,3.814697265625e-06,already_evaluated,0.004893445968627929,0.82_0.6_0.9_0.44_0.27,0.64_0.61_0.56_0.53_0.56,0.2051107406616211,0.6072986675946132,0.74,1.0,0.64,0.89,0.5788095238095238,1746694686.8203163,MLPClassifier,adam,50,5,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,PCA,2,,3.337860107421875e-06,already_evaluated,0.006862735748291016,1.0_1.0_0.95_1.0_1.0,0.5_0.5_0.51_0.5_0.5,1.2309680461883545,0.9908256880733944,0.99,1.0,1.0,1.0,0.5011904761904762,1746694686.8361626,MLPClassifier,adam,25,1,,,,,,constant,,,0.01,logistic
NearMiss,2,,features_mitigation_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.030329036712646484,0.0_0.38_0.33_0.16_0.0,0.65_0.66_0.63_0.61_0.61,12.805683660507203,0.17337121212121212,0.88,0.96,0.17,0.87,0.6297619047619049,1746694686.853842,MLPClassifier,adam,50,20,,,,,,constant,,,0.01,tanh
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,2.0,,SelectKBest,,10,3.5762786865234375e-06,already_evaluated,0.007571697235107422,0.0_nan_0.87_0.78_0.41,0.5_0.5_0.54_0.56_0.51,0.9318889141082763,-inf,0.82,0.72,0.56,0.67,0.5240476190476191,1746694686.8721106,MLPClassifier,lbfgs,50,1,,,,,,constant,,,0.01,relu
SMOTE,,7,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,1,,3.5762786865234375e-06,already_evaluated,0.004101848602294922,0.79_0.75_0.59_0.77_0.72,0.62_0.58_0.52_0.56_0.54,0.020493125915527342,0.7219120878067036,0.8,0.9,0.89,0.89,0.5642857142857144,1746694686.8907588,RandomForestClassifier,,,,10,4,6,2,3,,gini,True,,
NearMiss,3,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,6,3.814697265625e-06,already_evaluated,0.005513238906860352,nan_0.18_nan_0.89_1.0,0.5_0.49_0.5_0.49_0.5,0.8288957595825195,-inf,0.79,0.96,0.73,0.87,0.495952380952381,1746694686.9122424,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,logistic
