rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,7,,12.498886823654175,success,0.034101104736328124,0.31_0.34_0.38_0.36_0.67,0.49_0.5_0.49_0.5_0.49,2.3737230777740477,0.4129582781831617,0.62,0.57,1.0,0.71,0.55,0.46,0.4937547302853721,1746740835.3441944,,RandomForestClassifier,,,,,50,4,,6,3,4,,gini,False,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,2.0,,FunctionTransformer,,,339.5360321998596,success,0.2610315799713135,0.41_0.74_0.53_0.6_0.31,0.52_0.51_0.52_0.51_0.5,67.30090894699097,0.5175948957605521,0.79,0.84,0.63,0.85,0.81,0.78,0.5103395239763031,1746740822.6470335,,MLPClassifier,sgd,50,,20,,,,,,,invscaling,,,0.01,logistic
NearMiss,3,,rebalancing_mitigation_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,2.0,,PCA,8,,18.260303497314453,success,0.024275922775268556,0.62_0.66_0.44_1.0_0.68,0.47_0.49_0.49_0.5_0.49,3.5445406436920166,0.6811218699069863,0.78,0.74,1.0,0.76,0.77,0.76,0.4876487033468494,1746740482.952246,,MLPClassifier,adam,5,,5,,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,20.92253875732422,success,1.8829808235168457,0.06_0.05_0.08_0.05_0.06,0.74_0.74_0.74_0.75_0.74,0.33874077796936036,0.061543409504714416,0.86,0.29,0.39,0.06,0.99,0.24,0.7424140048221501,1746740464.5248182,uniform,KNeighborsClassifier,,,5,,,,manhattan,,,,,,,,
NearMiss,2,,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,FunctionTransformer,,,21.33504605293274,fail,0.03866872787475586,0.62_0.48_0.76_0.41_nan,0.52_0.51_0.51_0.51_0.5,4.1347432136535645,-inf,0.73,0.76,0.57,0.73,0.91,0.99,0.5095286926077969,1746740443.4402187,,RandomForestClassifier,,,,,75,2,,6,2,3,,entropy,False,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,16.43319082260132,success,1.4771466732025147,0.15_0.12_0.16_0.16_0.17,0.77_0.77_0.78_0.78_0.77,0.27904038429260253,0.15364475590991128,0.72,0.3,0.55,0.15,1.0,0.38,0.7740416937948484,1746740421.9513848,distance,KNeighborsClassifier,,,17,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,FunctionTransformer,,,9.078068017959595,fail,0.023148107528686523,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,1.7085097789764405,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746740405.363844,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,0.9040045738220215,success,0.011025094985961914,0.0_0.0_0.0_0.0_0.0,0.54_0.54_0.55_0.54_0.54,0.10257582664489746,0.0,0.77,0.0,0.5,0.09,0.84,0.12,0.5422589298972023,1746740396.135498,,RandomForestClassifier,,,,,10,2,,4,2,5,,entropy,True,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,313.23941588401794,success,0.10027098655700684,0.15_0.11_0.11_0.09_0.12,0.76_0.77_0.76_0.77_0.76,62.3577467918396,0.1163927383320976,0.72,0.22,0.45,0.12,1.0,0.37,0.7614985534988995,1746740393.2261028,,MLPClassifier,lbfgs,50,,5,,,,,,,adaptive,,,0.0001,relu
NearMiss,3,,features_rebalancing_mitigation_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,50,0.5,,FunctionTransformer,,,17.335623741149902,success,0.027897214889526366,1.0_0.72_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,3.3521765232086183,0.9445313314565738,0.95,0.95,0.95,0.94,0.99,1.0,0.5002462316749304,1746740079.8123438,,MLPClassifier,sgd,50,,1,,,,,,,invscaling,,,0.001,tanh
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,0.1,,PCA,4,,16.87197732925415,success,0.04107775688171387,0.38_0.49_0.78_0.7_0.84,0.52_0.51_0.51_0.51_0.51,3.236175870895386,0.6361101756217223,0.83,0.85,0.69,0.86,0.87,0.85,0.5111180360173082,1746740062.322602,,RandomForestClassifier,,,,,50,4,,3,3,2,,entropy,True,,
SMOTE,,6,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.6919002532958984,success,0.00930318832397461,0.04_0.09_0.09_0.03_0.1,0.74_0.72_0.72_0.75_0.72,0.2661287307739258,0.06882680565248109,1.0,0.08,0.74,0.25,0.95,0.4,0.7287577964854404,1746740045.3116097,,RandomForestClassifier,,,,,10,4,,2,3,5,,gini,False,,
NearMiss,4,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.8189094066619873,success,0.01545720100402832,0.07_0.05_0.05_0.05_0.05,0.75_0.75_0.75_0.76_0.75,0.28055486679077146,0.05492710513742878,1.0,0.05,0.78,0.23,0.97,0.74,0.7520713915224411,1746740043.4818242,,RandomForestClassifier,,,,,50,5,,6,3,1,,gini,True,,
