rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,1.0,,FunctionTransformer,,,6.125815153121948,success,0.006086492538452148,0.83_0.79_0.84_0.51_0.74,0.62_0.59_0.54_0.5_0.51,1.1986330032348633,0.7418700634638782,0.81,1.0,0.77,0.9,0.5535714285714286,1746733203.597971,,MLPClassifier,lbfgs,25,,1,,,,,,,invscaling,,,0.001,tanh
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,6,,0.8884825706481934,success,0.0035794734954833984,0.66_0.89_0.72_0.71_0.61,0.59_0.6_0.6_0.59_0.59,0.15566892623901368,0.7182325235730499,0.85,0.88,0.87,0.82,0.5945238095238097,1746733189.288841,,MLPClassifier,lbfgs,25,,1,,,,,,,invscaling,,,1e-05,logistic
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,0.4766960144042969,success,0.0032657623291015626,0.0_0.0_0.0_0.0_0.0,0.52_0.55_0.51_0.49_0.54,0.0737222671508789,0.0,0.87,0.54,0.0,0.76,0.5219047619047619,1746733187.877745,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.001,relu
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.5,,SelectKBest,,6,7.159662485122681,success,0.009045696258544922,0.83_0.8_0.95_0.89_0.94,0.56_0.47_0.51_0.52_0.53,0.8372443199157715,0.8832783334220066,0.92,0.99,0.95,0.95,0.519047619047619,1746733186.8707952,distance,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,
NearMiss,2,,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,FunctionTransformer,,,4.3897199630737305,success,0.006423091888427735,0.87_0.48_0.82_0.57_0.97,0.46_0.56_0.55_0.51_0.54,0.842289924621582,0.7415925252610662,0.78,0.97,0.83,0.88,0.5235714285714285,1746733179.036175,,RandomForestClassifier,,,,,10,3,,6,3,1,,gini,True,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,200,0.5,,PCA,2,,4.240741968154907,success,0.007214546203613281,0.89_0.9_0.96_1.0_0.9,0.53_0.55_0.51_0.5_0.52,0.8197949886322021,0.9302696586181085,0.95,1.0,0.95,0.96,0.5233333333333333,1746733174.1196175,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,193.79077434539795,success,0.026474189758300782,0.63_0.62_0.79_0.71_0.63,0.62_0.67_0.65_0.64_0.65,38.70545535087585,0.6775932441942294,0.94,0.96,0.68,0.91,0.6471428571428571,1746733169.348189,,MLPClassifier,adam,50,,20,,,,,,,constant,,,0.001,relu
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.5278515815734863,success,0.005914068222045899,0.31_0.43_0.19_0.42_0.26,0.62_0.59_0.57_0.62_0.61,0.07684845924377441,0.32452247949384594,1.0,0.76,0.34,0.41,0.6004761904761905,1746732975.030029,,RandomForestClassifier,,,,,10,2,,3,1,1,,gini,False,,
SMOTE,,8,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,0.24734759330749512,success,0.004189729690551758,0.49_0.54_0.55_0.44_0.14,0.63_0.6_0.62_0.6_0.59,0.025211668014526366,0.4319058719058718,0.81,0.97,0.47,0.86,0.6085714285714287,1746732966.8248184,,RandomForestClassifier,,,,,10,5,,3,2,5,,gini,False,,
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.6746890544891357,success,0.007248544692993164,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.1051149845123291,1.0,1.0,1.0,1.0,1.0,0.5,1746732965.789456,,RandomForestClassifier,,,,,50,2,,2,4,3,,entropy,True,,
SMOTE,,5,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,100,0.5,,PCA,2,,2.9956741333007812,success,0.008658361434936524,0.84_0.74_0.68_0.66_1.0,0.56_0.58_0.53_0.51_0.5,0.5680282592773438,0.7849509562135991,0.82,1.0,0.86,0.89,0.5342857142857143,1746732964.5662918,,RandomForestClassifier,,,,,50,4,,4,2,5,,entropy,False,,
NearMiss,4,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,1.217127799987793,success,0.01012563705444336,0.0_0.0_0.0_0.0_0.0,0.55_0.52_0.5_0.55_0.46,0.2079838752746582,0.0,0.87,0.43,0.0,0.98,0.5180952380952382,1746732961.012823,,RandomForestClassifier,,,,,100,4,,3,4,2,,entropy,True,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,6,5.3640217781066895,success,0.007252264022827149,0.83_0.78_0.81_0.73_0.74,0.62_0.6_0.53_0.55_0.51,0.5901549339294434,0.7795743148613379,0.84,0.97,0.8,0.92,0.5630952380952381,1746732959.2767491,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.0001,tanh
NearMiss,2,,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,0.1,,FunctionTransformer,,,10.792072772979736,success,0.009416913986206055,0.33_0.74_0.61_0.54_0.74,0.54_0.58_0.53_0.5_0.51,2.125273323059082,0.5927127025400096,0.66,1.0,0.65,0.8,0.534047619047619,1746732953.384301,,RandomForestClassifier,,,,,75,4,,6,1,4,,entropy,True,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,0.5,,PCA,3,,5.094690322875977,success,0.007023000717163086,0.82_0.74_0.82_0.51_0.74,0.58_0.58_0.55_0.5_0.51,0.9874205112457275,0.7255237094936623,0.77,0.99,0.8,0.88,0.5449999999999999,1746732942.0740857,,MLPClassifier,lbfgs,50,,1,,,,,,,invscaling,,,1e-05,tanh
