rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,204.99353909492493,success,0.054123640060424805,0.43_0.49_0.52_0.44_0.41,0.68_0.66_0.65_0.68_0.66,40.85546846389771,0.4579542573069957,0.62,0.55,0.67,1.0,0.53,0.6,0.52,0.6668945672311399,1746737113.2425694,,MLPClassifier,lbfgs,25,,10,,,,,,,invscaling,,,0.001,tanh
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,19.077862977981567,success,0.015984821319580077,0.74_0.57_0.74_0.68_0.35,0.63_0.63_0.62_0.63_0.64,3.754742383956909,0.6167269627171019,0.77,0.76,0.86,1.0,0.66,0.84,0.77,0.6306586183036108,1746736908.059954,,RandomForestClassifier,,,,,10,6,,6,3,3,,entropy,True,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,4.298002481460571,success,0.3717217445373535,0.34_0.25_0.47_0.2_0.14,0.67_0.65_0.65_0.67_0.66,0.09836020469665527,0.2797946393266473,0.46,0.55,0.62,1.0,0.29,0.5,0.5,0.6609409864594227,1746736888.776966,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,3,28.741283178329468,success,0.023731040954589843,0.73_0.55_0.7_0.6_0.74,0.63_0.64_0.62_0.63_0.61,4.868713140487671,0.6630691126664815,0.79,0.77,0.87,1.0,0.7,0.85,0.78,0.6270484578834231,1746736884.2882996,,RandomForestClassifier,,,,,100,6,,4,4,4,,gini,True,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,PCA,7,,23.885863780975342,success,0.016463327407836913,0.54_0.5_0.69_0.53_0.27,0.65_0.64_0.63_0.61_0.62,4.716656827926636,0.5073626235144586,0.72,0.71,0.83,1.0,0.57,0.8,0.74,0.6298452714861614,1746736855.3583868,,MLPClassifier,adam,50,,1,,,,,,,constant,,,1e-05,logistic
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,6,21.51268172264099,success,0.014211320877075195,0.46_0.58_0.72_0.61_0.68,0.65_0.63_0.64_0.62_0.62,3.4866498470306397,0.609340325268026,0.76,0.76,0.84,1.0,0.64,0.83,0.76,0.6346062465353324,1746736831.2752693,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,1.0,,SelectKBest,,6,20.095816612243652,success,0.017914676666259767,0.5_0.6_0.7_0.59_0.35,0.62_0.62_0.63_0.62_0.64,3.2134893417358397,0.5486488956226779,0.75,0.73,0.8,0.98,0.6,0.86,0.74,0.6243185716561989,1746736809.5573132,,RandomForestClassifier,,,,,50,5,,5,2,4,,gini,False,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,215.25827169418335,success,0.039302492141723634,0.4_0.22_0.35_0.24_0.26,0.69_0.68_0.68_0.69_0.67,42.873636436462405,0.29510441641674584,0.59,0.57,0.61,1.0,0.3,0.49,0.5,0.6837325180197892,1746736789.2584002,,MLPClassifier,lbfgs,25,,10,,,,,,,constant,,,0.0001,tanh
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,5,,1.2525365352630615,success,0.05250415802001953,0.51_0.47_0.55_0.51_0.18,0.65_0.64_0.67_0.67_0.66,0.11583533287048339,0.44681060220563407,0.67,0.6,0.67,1.0,0.45,0.54,0.61,0.6566760452722618,1746736571.4736443,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,50,0.1,,FunctionTransformer,,,15.995668888092041,success,0.014973974227905274,0.55_0.65_0.83_0.78_0.34,0.65_0.63_0.61_0.62_0.63,3.125160312652588,0.6298351215760528,0.79,0.77,0.88,0.99,0.64,0.91,0.83,0.6272193190036432,1746736570.0279796,,MLPClassifier,adam,10,,10,,,,,,,invscaling,,,0.01,tanh
NearMiss,4,,rebalancing_features_mitigation_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.77409029006958,success,0.12395477294921875,0.52_0.34_0.45_0.39_0.28,0.68_0.66_0.66_0.68_0.66,0.08122415542602539,0.39472386685579625,0.57,0.62,0.66,1.0,0.39,0.51,0.57,0.6668201669068015,1746736553.8515618,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.75,PCA,7,,6.924811601638794,success,0.006682157516479492,0.2_0.12_0.28_0.32_0.04,0.69_0.69_0.65_0.7_0.67,1.3425936222076416,0.19269957155927786,0.51,0.55,0.62,1.0,0.23,0.36,0.41,0.6806396800903306,1746736551.8968897,,MLPClassifier,sgd,50,,1,,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,1.2648961544036865,success,0.01044168472290039,0.39_0.19_0.26_0.39_0.39,0.67_0.67_0.66_0.68_0.66,0.2006997585296631,0.32314294110893516,0.48,0.51,0.51,1.0,0.32,0.4,0.52,0.6681616219168681,1746736544.7905045,,RandomForestClassifier,,,,,50,5,,4,3,3,,entropy,True,,
NearMiss,1,,mitigation_rebalancing_normalization_features_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,200,0.1,,FunctionTransformer,,,19.854033946990967,success,0.013288021087646484,0.48_0.57_0.71_0.77_0.34,0.62_0.63_0.62_0.62_0.63,3.914416027069092,0.5744494567847467,0.75,0.74,0.84,1.0,0.59,0.85,0.74,0.6241656092534172,1746736543.346857,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.001,logistic
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,8,3.8738627433776855,success,0.19708495140075682,0.22_0.23_0.43_0.52_0.32,0.65_0.65_0.64_0.64_0.65,0.2865281581878662,0.34315749729997386,0.52,0.6,0.65,1.0,0.34,0.49,0.56,0.6454975315488936,1746736523.3153636,uniform,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
NearMiss,3,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.1518120765686035,success,0.0063189506530761715,0.42_0.4_0.38_0.43_0.39,0.66_0.66_0.66_0.68_0.64,0.18443937301635743,0.40543559125357137,0.54,0.52,0.58,1.0,0.41,0.64,0.72,0.6602754631933803,1746736516.9935906,,RandomForestClassifier,,,,,10,4,,5,3,5,,entropy,False,,
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,,False,,True,RobustScaler,LFR_wrapper,0.5,100,0.1,,FunctionTransformer,,,19.446515560150146,success,0.012436342239379884,0.48_0.46_0.71_0.55_0.86,0.65_0.65_0.64_0.6_0.61,3.836787796020508,0.6118397673419798,0.75,0.75,0.84,1.0,0.67,0.86,0.78,0.6301084676939652,1746736515.613189,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,20.677238702774048,success,0.008301591873168946,0.18_0.28_0.44_0.46_0.3,0.69_0.69_0.68_0.7_0.69,4.08923454284668,0.33127334658526786,0.57,0.58,0.6,1.0,0.34,0.58,0.6,0.6897690606095191,1746736495.988218,,MLPClassifier,adam,5,,5,,,,,,,invscaling,,,0.01,tanh
SMOTE,,6,features_mitigation_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,FunctionTransformer,,,1.592681884765625,success,0.009479188919067382,0.34_0.27_0.33_0.38_0.23,0.67_0.68_0.67_0.68_0.66,0.2703376770019531,0.3071656295543862,0.4,0.44,0.45,1.0,0.31,0.39,0.43,0.6711295579656646,1746736475.1356614,,RandomForestClassifier,,,,,50,4,,4,2,3,,gini,True,,
SMOTE,,5,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,7,,1.464400053024292,success,0.0057223796844482425,0.5_0.37_0.62_0.48_0.25,0.66_0.66_0.65_0.64_0.65,0.25313472747802734,0.44414867229531313,0.65,0.67,0.77,1.0,0.47,0.68,0.63,0.6533066183025701,1746736473.3700664,,RandomForestClassifier,,,,,10,4,,2,4,3,,gini,False,,
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,5.0333685874938965,success,0.36188702583312987,0.17_0.32_0.41_0.38_0.35,0.65_0.64_0.63_0.66_0.65,0.25220866203308107,0.32753808130381434,0.53,0.5,0.61,1.0,0.35,0.47,0.43,0.6464823905271129,1746736471.7297888,uniform,KNeighborsClassifier,,,4,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,50,0.5,,PCA,6,,19.43879008293152,success,0.013965511322021484,0.43_0.6_0.7_0.76_0.88,0.63_0.62_0.62_0.63_0.61,3.8306251525878907,0.6740968172636231,0.82,0.78,0.82,0.98,0.71,0.89,0.79,0.6223117439352894,1746736466.518418,,MLPClassifier,sgd,5,,5,,,,,,,constant,,,0.01,relu
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,2.0,50,2.0,,FunctionTransformer,,,25.36627173423767,success,0.015064859390258789,0.57_0.47_0.72_0.74_0.3,0.64_0.64_0.62_0.62_0.64,5.015640735626221,0.559885185058907,0.77,0.76,0.87,1.0,0.6,0.88,0.78,0.6342616093766084,1746736446.9060583,,MLPClassifier,sgd,25,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,SelectKBest,,7,2.7117536067962646,success,0.012963294982910156,0.51_0.05_0.5_0.05_0.05,0.66_0.67_0.66_0.66_0.65,0.48509602546691893,0.23014854808917873,0.57,0.58,0.66,1.0,0.31,0.41,0.49,0.6594484228258297,1746736421.3713057,,RandomForestClassifier,,,,,100,5,,2,3,3,,entropy,False,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,1.0,50,0.1,,SelectKBest,,6,23.262161016464233,success,0.23256855010986327,0.0_0.0_0.13_0.0_0.0,0.52_0.53_0.52_0.5_0.5,2.9529230117797853,0.025563909774436087,0.59,0.65,0.73,0.82,0.2,0.7,0.79,0.515092272896284,1746736416.4704456,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,PCA,4,,17.109789848327637,success,0.23856959342956544,0.0_0.0_0.22_0.3_0.18,0.52_0.51_0.55_0.52_0.51,2.9473639011383055,0.14167535066932826,0.57,0.59,0.67,0.82,0.31,0.67,0.67,0.5217766819894143,1746736393.0407176,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,False,,True,RobustScaler,LFR_wrapper,2.0,50,2.0,,PCA,1,,20.78745698928833,success,0.10178050994873047,0.0_0.0_0.37_0.72_0.57,0.5_0.51_0.5_0.51_0.5,3.9314437389373778,0.3318033506522437,0.68,0.9,0.8,0.97,0.49,0.72,0.81,0.50460166272748,1746736375.7662604,distance,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,200,0.1,,PCA,4,,20.437693119049072,success,0.2116002082824707,0.12_0.49_0.37_0.42_0.0,0.51_0.52_0.51_0.5_0.51,3.6377370357513428,0.27972039486153255,0.52,0.65,0.67,0.7,0.59,0.66,0.85,0.5122902981160105,1746736354.8089964,uniform,KNeighborsClassifier,,,19,,,,minkowski,,,,,,,,
NearMiss,2,,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.5,PCA,4,,12.842697381973267,success,0.017013740539550782,0.46_0.12_0.19_0.16_0.04,0.65_0.65_0.66_0.66_0.63,2.4992754459381104,0.19371587228707737,0.36,0.39,0.49,1.0,0.2,0.34,0.31,0.6502371216638891,1746736334.1968083,,RandomForestClassifier,,,,,100,5,,6,4,4,,entropy,True,,
