rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,1.0,,SelectKBest,,9,9.059906005859375e-06,already_evaluated,0.027669239044189452,0.79_0.56_0.6_0.66_0.67,0.51_0.51_0.5_0.51_0.51,12.886111211776733,0.6565964365192849,0.91,0.94,0.75,0.94,0.82,0.77,0.5082569897256978,1746714036.7175024,,RandomForestClassifier,,,,,10,4,,2,1,3,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,0.5,10,1.0,,SelectKBest,,8,9.775161743164062e-06,already_evaluated,2.0018599033355713,nan_nan_nan_0.0_nan,0.5_0.5_0.5_0.5_0.5,10.761517238616943,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.49998499399759905,1746714036.7688212,distance,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,8.106231689453125e-06,already_evaluated,0.03364076614379883,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,7.915259885787964,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746714036.820318,,RandomForestClassifier,,,,,100,4,,6,4,3,,entropy,False,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,6.198883056640625e-06,already_evaluated,0.027588701248168944,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,7.198512268066406,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746714036.8719504,,RandomForestClassifier,,,,,50,4,,2,1,1,,gini,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,2.0503997802734375e-05,already_evaluated,0.04333038330078125,0.69_0.67_0.76_0.8_0.74,0.52_0.53_0.53_0.52_0.53,0.14920496940612793,0.7302644830428499,0.8,0.75,1.0,0.83,0.86,0.84,0.5265508757156315,1746714036.923956,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,200,1.0,,PCA,7,,4.291534423828125e-06,already_evaluated,0.050190973281860354,0.65_0.68_0.61_0.54_0.67,0.48_0.49_0.48_0.5_0.49,8.443262720108033,0.6284820202293271,0.71,0.68,0.9,0.66,0.82,0.89,0.4880718062679808,1746714036.9771636,,RandomForestClassifier,,,,,100,3,,6,2,4,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,2.0,,PCA,1,,4.0531158447265625e-06,already_evaluated,1.523159646987915,0.43_0.0_nan_0.0_0.0,0.49_0.5_0.5_0.5_0.5,26.293823099136354,-inf,0.53,0.48,0.25,0.49,0.16,0.11,0.4985235890531988,1746714037.0285473,uniform,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,0.5,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.027681779861450196,0.44_0.58_0.85_0.35_0.26,0.52_0.5_0.51_0.51_0.49,4.256713151931763,0.49460732300163396,0.67,0.68,0.58,0.69,0.85,0.9,0.5069376824945392,1746714037.0803144,,RandomForestClassifier,,,,,25,2,,5,1,2,,entropy,True,,
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,4.5299530029296875e-06,already_evaluated,0.0537905216217041,0.79_0.73_0.69_0.8_0.71,0.53_0.51_0.51_0.5_0.5,20.700695514678955,0.7436690623126714,0.91,0.93,0.83,0.92,0.89,0.91,0.5112552537740667,1746714037.1329024,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,4.5299530029296875e-06,already_evaluated,1.3357156753540038,nan_nan_0.0_0.0_nan,0.5_0.5_0.5_0.5_0.5,18.072681760787965,-inf,0.5,0.78,0.0,0.0,0.0,0.0,0.5000299467528805,1746714037.1868975,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,4.76837158203125e-06,already_evaluated,0.03102731704711914,nan_nan_nan_0.0_nan,0.5_0.5_0.5_0.5_0.5,24.375706958770753,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.49998499399759905,1746714037.2426822,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.1205673217773438e-05,already_evaluated,2.935798454284668,0.04_0.07_0.07_0.08_0.07,0.76_0.77_0.77_0.77_0.77,0.07449145317077636,0.06643532240852085,0.8,0.25,0.36,0.07,0.99,0.16,0.7691635626182125,1746714037.3004403,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,4.0531158447265625e-06,already_evaluated,0.024683141708374025,0.23_0.24_0.23_0.28_0.21,0.66_0.68_0.67_0.66_0.66,1.667578125,0.2376712353162509,0.5,0.24,0.47,0.3,1.0,0.79,0.6658849204631444,1746714037.358762,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
NearMiss,4,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,10,1.7511920928955078,success,0.014996147155761719,0.01_0.0_0.01_0.01_0.01,0.74_0.74_0.74_0.74_0.74,0.22922582626342775,0.0096274691248714,1.0,0.01,0.76,0.14,0.96,0.16,0.7405956773543482,1746714040.0993352,,RandomForestClassifier,,,,,50,3,,3,1,1,,gini,False,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,3,5.092183351516724,success,0.4234629154205322,0.13_0.1_0.2_0.11_0.11,0.65_0.63_0.64_0.64_0.64,0.0960390567779541,0.13075123655468693,0.53,0.13,0.41,0.17,1.0,0.74,0.6384749352189267,1746714045.2637115,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
NearMiss,4,,features_rebalancing_normalization_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,1.0,,FunctionTransformer,,,13.52869462966919,success,0.03903064727783203,0.56_0.74_0.6_0.53_0.71,0.47_0.49_0.49_0.5_0.49,2.5746615409851072,0.6266681489797341,0.76,0.71,0.99,0.7,0.74,0.74,0.48867573581228224,1746714058.8599055,,RandomForestClassifier,,,,,75,5,,4,1,5,,gini,True,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,14.527099609375,success,0.027991580963134765,0.51_0.2_0.55_0.67_0.68,0.48_0.5_0.5_0.5_0.49,2.7990397930145265,0.5243344661083599,0.67,0.64,0.79,0.57,0.81,0.88,0.49158577619420213,1746714073.4523523,,RandomForestClassifier,,,,,10,4,,3,2,3,,gini,True,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,50,1.0,,FunctionTransformer,,,32.47680330276489,fail,0.11858582496643066,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,6.1711560726165775,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746714105.9945996,,MLPClassifier,lbfgs,10,,20,,,,,,,adaptive,,,0.0001,relu
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,10,11.80757737159729,success,1.0604075908660888,0.2_0.14_0.19_0.22_0.22,0.78_0.78_0.79_0.79_0.77,0.1451498508453369,0.1948426488173161,0.57,0.28,0.78,0.19,1.0,0.78,0.7817843261847427,1746714117.8692336,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,5,,5.019915819168091,success,0.4201231002807617,0.17_0.22_0.14_0.28_0.24,0.74_0.73_0.74_0.74_0.73,0.11153974533081054,0.20980343459692347,0.82,0.25,0.46,0.21,1.0,0.7,0.7352567847270629,1746714122.960613,uniform,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,12.317843198776245,success,1.0551401615142821,0.14_0.12_0.15_0.12_0.15,0.77_0.77_0.77_0.76_0.77,0.30181198120117186,0.13476953599520874,0.8,0.33,0.57,0.13,1.0,0.57,0.7683269990321449,1746714135.3482294,uniform,KNeighborsClassifier,,,3,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,3,6.202133655548096,success,0.008523845672607422,0.1_0.15_0.13_0.11_0.13,0.69_0.7_0.7_0.69_0.69,1.1649680137634277,0.1239830960237436,0.97,0.35,0.48,0.15,0.93,0.17,0.6941433963444845,1746714142.4227154,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,PCA,8,,53.34313893318176,success,0.015200471878051758,0.03_0.03_0.03_0.04_0.04,0.63_0.64_0.64_0.64_0.64,10.584912014007568,0.03480145320851119,0.96,0.04,0.82,0.89,0.09,0.86,0.6397320760397337,1746714195.8352773,,MLPClassifier,sgd,25,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,10,0.5,,FunctionTransformer,,,19.685821056365967,fail,0.03655595779418945,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,3.812185192108154,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746714215.5949974,,RandomForestClassifier,,,,,100,4,,2,1,3,,gini,True,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,20.797512769699097,success,0.02876124382019043,0.02_0.03_0.04_0.02_0.02,0.73_0.74_0.74_0.73_0.74,4.048148918151855,0.025328081681073582,0.65,0.03,0.85,0.61,1.0,0.85,0.7362716182977882,1746714236.4636233,,RandomForestClassifier,,,,,100,2,,4,4,3,,entropy,False,,
