rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,235.92629289627075,success,0.03925514221191406,0.49_0.48_0.24_0.99_0.49,0.47_0.49_0.49_0.5_0.49,47.01320219039917,0.5356949362013037,0.66,0.62,0.86,0.64,0.71,0.66,0.489165282172881,1746730797.362138,,RandomForestClassifier,,,,,50,6,,5,4,5,,entropy,True,,
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,7,,160.90048551559448,success,0.015021753311157227,0.15_0.06_0.11_0.18_0.12,0.78_0.76_0.77_0.78_0.77,32.04748096466064,0.1261640312153157,0.86,0.18,0.38,0.13,0.98,0.57,0.7716715172923585,1746730561.362422,,MLPClassifier,adam,5,,5,,,,,,,adaptive,,,0.001,relu
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,PCA,2,,51.396199464797974,fail,0.09323816299438477,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,9.91747989654541,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746730400.392846,,MLPClassifier,sgd,25,,5,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,8,,273.86693501472473,success,0.016147804260253907,0.06_0.01_0.03_0.07_0.03,0.72_0.72_0.73_0.71_0.72,54.6048641204834,0.040428630246688385,0.48,0.07,0.27,0.04,1.0,0.43,0.7196747927248947,1746730348.90082,,MLPClassifier,lbfgs,5,,10,,,,,,,adaptive,,,0.0001,relu
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,159.8946533203125,success,0.1871201515197754,0.0_0.0_0.0_0.0_0.25,0.72_0.71_0.72_0.71_0.65,31.503723239898683,0.0504201680672269,0.52,0.11,0.25,0.05,1.0,0.12,0.7010402978055661,1746730074.8938036,,MLPClassifier,sgd,10,,20,,,,,,,constant,,,0.001,logistic
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,4,,199.50813055038452,success,0.02342085838317871,0.01_0.03_0.04_0.1_0.04,0.64_0.64_0.65_0.63_0.63,39.77765288352966,0.041186693207285976,1.0,0.04,0.3,0.63,0.65,0.57,0.638194507017389,1746729914.9265058,,MLPClassifier,lbfgs,25,,1,,,,,,,adaptive,,,0.0001,tanh
NearMiss,2,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,1,,17.473658323287964,success,0.11408228874206543,0.2_0.27_0.24_0.21_0.26,0.52_0.52_0.52_0.52_0.53,3.150828409194946,0.2371836587939749,0.57,0.24,0.91,0.67,1.0,0.65,0.5222043245658103,1746729715.3481758,,MLPClassifier,sgd,10,,10,,,,,,,adaptive,,,0.001,relu
SMOTE,,8,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,50,0.1,,SelectKBest,,10,495.32588148117065,success,0.03571333885192871,0.38_0.46_0.63_0.25_0.61,0.52_0.51_0.5_0.51_0.5,62.10748391151428,0.46628211582424905,0.81,0.84,0.64,0.89,0.67,0.69,0.5093995653517882,1746729697.0331502,,RandomForestClassifier,,,,,25,4,,3,1,2,,entropy,True,,
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,100,0.1,,SelectKBest,,8,719.7581253051758,success,0.060457801818847655,0.38_0.47_0.74_0.76_0.53,0.52_0.51_0.51_0.5_0.51,109.77547450065613,0.5762166059542871,0.81,0.86,0.59,0.82,0.89,0.81,0.5116103903014559,1746729201.6374156,,RandomForestClassifier,,,,,100,4,,4,1,4,,gini,False,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,512.8056609630585,success,0.04201173782348633,0.59_0.42_0.74_0.29_0.64,0.52_0.51_0.51_0.51_0.5,78.68109312057496,0.5348416456810813,0.8,0.83,0.65,0.85,0.77,0.7,0.5098679490850418,1746728481.8100197,,RandomForestClassifier,,,,,100,6,,5,1,1,,entropy,False,,
