rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.1,,SelectKBest,,8,901.5117928981781,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746723189.8896115,,MLPClassifier,lbfgs,50,,20,,,,,,,constant,,,0.01,logistic
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,3,10.378127336502075,fail,0.007698583602905274,0.42_0.4_0.68_1.0_nan,0.62_0.5_0.52_0.5_0.5,0.8172969818115234,-inf,0.82,0.81,0.85,0.78,0.5302380952380952,1746722287.8910477,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.001,logistic
NearMiss,2,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,PCA,4,,0.5692260265350342,success,0.0028061866760253906,0.42_0.31_0.42_0.39_0.25,0.6_0.57_0.54_0.52_0.5,0.08007616996765136,0.35694444444444445,0.57,0.93,0.36,0.76,0.5466666666666666,1746722269.4392192,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,tanh
NearMiss,1,,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,PCA,3,,0.0004918575286865234,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746722268.3948245,,RandomForestClassifier,,,,,25,6,,2,2,2,,gini,True,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,10,1.0,,FunctionTransformer,,,7.1465277671813965,success,0.005935001373291016,0.77_0.54_0.76_0.39_0.0,0.57_0.53_0.55_0.52_0.52,1.393098735809326,0.49092166879523197,0.72,0.71,0.79,0.67,0.5392857142857144,1746722267.8996124,,MLPClassifier,lbfgs,25,,5,,,,,,,adaptive,,,0.001,tanh
FunctionTransformer,,,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,0.5014715194702148,success,0.0021770954132080077,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.07212738990783692,1.0,1.0,1.0,1.0,1.0,0.5,1746722260.2755277,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.001,logistic
SMOTE,,8,rebalancing_normalization_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,PCA,4,,0.8550071716308594,success,0.005648088455200195,0.0_0.44_0.3_0.0_0.0,0.65_0.67_0.66_0.58_0.62,0.13428702354431152,0.1494949494949495,0.56,0.82,0.25,0.46,0.6347619047619049,1746722259.2956874,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,4.351004600524902,success,0.04098634719848633,0.85_1.0_0.93_0.83_1.0,0.54_0.5_0.51_0.51_0.5,0.7711508750915528,0.9228735632183909,0.94,1.0,0.95,0.96,0.5128571428571428,1746722257.949728,distance,KNeighborsClassifier,,,17,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_normalization_features_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.1,,PCA,8,,0.0006165504455566406,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746722253.1238384,,MLPClassifier,sgd,5,,20,,,,,,,adaptive,,,0.01,logistic
NearMiss,2,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,1.0,,FunctionTransformer,,,10.458075046539307,fail,0.004975366592407227,nan_0.5_0.61_0.39_0.72,0.5_0.58_0.55_0.5_0.51,2.0582628726959227,-inf,0.66,0.91,0.61,0.76,0.5280952380952382,1746722245.4166613,,MLPClassifier,lbfgs,5,,20,,,,,,,adaptive,,,0.001,tanh
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,6,0.7581984996795654,success,0.005514860153198242,0.0_0.42_0.18_0.0_0.0,0.69_0.68_0.7_0.66_0.74,0.11408505439758301,0.12036363636363637,0.58,0.41,0.44,0.67,0.6945238095238095,1746722234.2519813,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,1.0,,FunctionTransformer,,,5.2790281772613525,success,0.006081628799438477,0.42_0.31_0.66_0.38_0.69,0.62_0.56_0.55_0.52_0.52,1.0169416904449462,0.49098932676518886,0.7,0.85,0.63,0.72,0.5530952380952381,1746722232.9755225,,MLPClassifier,sgd,25,,5,,,,,,,adaptive,,,1e-05,tanh
SMOTE,,8,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,0.5648424625396729,success,0.03466191291809082,0.27_0.36_0.33_0.0_0.0,0.61_0.68_0.68_0.64_0.65,0.021896219253540038,0.191504329004329,0.67,0.61,0.3,0.44,0.6511904761904762,1746722227.1472993,distance,KNeighborsClassifier,,,9,,,,euclidean,,,,,,,,
NearMiss,2,,normalization_mitigation_features_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,4,,0.3733839988708496,success,0.006040000915527343,0.0_0.0_0.6_0.0_0.0,0.64_0.54_0.5_0.57_0.57,0.03663401603698731,0.12,0.94,0.34,0.24,0.14,0.5652380952380952,1746722226.092116,,RandomForestClassifier,,,,,25,2,,5,2,1,,entropy,False,,
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,200,0.1,,SelectKBest,,7,8.198574304580688,success,0.014846992492675782,0.45_0.5_0.62_0.52_0.66,0.6_0.59_0.52_0.56_0.53,1.2707532882690429,0.5492456896551724,0.62,0.86,0.65,0.78,0.5592857142857143,1746722225.219216,,RandomForestClassifier,,,,,100,5,,6,1,2,,gini,False,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,6,0.256650447845459,success,0.003182077407836914,0.0_0.0_0.56_0.42_0.0,0.68_0.66_0.71_0.65_0.69,0.020313501358032227,0.19615384615384618,0.78,0.57,0.2,0.82,0.6773809523809524,1746722216.5545068,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,4,,features_rebalancing_normalization_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,SelectKBest,,6,0.3176116943359375,success,0.011925745010375976,0.42_0.42_0.3_0.52_0.33,0.57_0.53_0.67_0.48_0.51,0.007713174819946289,0.39764309764309763,0.5,0.89,0.42,0.57,0.5533333333333333,1746722215.8268816,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,rebalancing_normalization_features_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,PCA,8,,0.0003654956817626953,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746722215.0259523,,MLPClassifier,sgd,5,,10,,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,0.3058960437774658,success,0.00556793212890625,1.0_1.0_1.0_0.97_0.95,0.5_0.5_0.5_0.5_0.5,0.021746110916137696,0.985909090909091,1.0,1.0,1.0,0.99,0.5002380952380953,1746722206.9921708,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
NearMiss,4,,normalization_features_mitigation_rebalancing_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.5,SelectKBest,,6,0.2386617660522461,success,0.00594625473022461,0.3_0.38_0.32_0.42_0.45,0.67_0.63_0.6_0.64_0.56,0.008733224868774415,0.37493655769517836,0.58,0.73,0.51,0.45,0.6197619047619047,1746722206.225797,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
