rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,features_rebalancing_normalization_mitigation_classification,,False,,True,RobustScaler,LFR_wrapper,2.0,10,0.1,,FunctionTransformer,,,455.781893491745,success,0.02045149803161621,0.44_0.25_0.0_0.24_0.0,0.62_0.63_0.64_0.62_0.64,91.05291018486022,0.18700659041658838,0.55,0.65,0.73,0.77,0.21,0.7,0.69,0.6300006455515507,1746727107.5613286,,RandomForestClassifier,,,,,50,2,,3,2,3,,gini,True,,
SMOTE,,7,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,SelectKBest,,10,2.9510183334350586,success,0.01710023880004883,0.41_0.35_0.19_0.29_0.53,0.68_0.67_0.66_0.68_0.66,0.5015637397766113,0.35269749394845495,0.66,0.55,0.48,0.96,0.45,0.53,0.47,0.670898442094078,1746726651.6730368,,RandomForestClassifier,,,,,100,4,,4,2,5,,gini,True,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,SelectKBest,,6,139.851060628891,success,0.10644655227661133,0.09_0.09_0.0_0.22_0.1,0.68_0.69_0.67_0.68_0.67,27.65622024536133,0.09966893199275377,0.59,0.67,0.66,0.99,0.1,0.38,0.35,0.6786496614565571,1746726648.5966635,,MLPClassifier,lbfgs,25,,10,,,,,,,constant,,,1e-05,logistic
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,6,15.796233892440796,success,0.007322168350219727,0.2_0.09_0.1_0.21_0.28,0.67_0.66_0.66_0.68_0.66,3.084692668914795,0.1753021857851484,0.26,0.51,0.54,0.99,0.23,0.65,0.87,0.6663862440855745,1746726508.6425486,,MLPClassifier,sgd,10,,1,,,,,,,adaptive,,,0.01,tanh
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,False,,True,,StandardScaler,LFR_wrapper,2.0,100,2.0,,PCA,4,,383.7629551887512,success,0.27582368850708006,0.0_0.0_0.0_0.0_0.24,0.51_0.51_0.6_0.52_0.5,76.1662627696991,0.047272727272727265,0.4,0.46,0.53,0.57,0.33,0.45,0.46,0.5293622602258856,1746726492.7015913,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,200,0.5,,SelectKBest,,3,0.25453877449035645,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746726108.8377202,,MLPClassifier,sgd,50,,20,,,,,,,adaptive,,,0.001,logistic
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,3.725306272506714,success,0.3009646892547607,0.25_0.41_0.26_0.41_0.35,0.67_0.66_0.67_0.68_0.64,0.09153785705566406,0.33511088154402857,0.49,0.56,0.69,0.99,0.34,0.52,0.59,0.6647224416637239,1746726106.7168627,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
FunctionTransformer,,,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,0.5,,SelectKBest,,9,87.81236362457275,success,0.1958315372467041,0.19_0.56_0.0_0.45_0.3,0.64_0.62_0.62_0.63_0.64,17.126519632339477,0.3019875667743621,0.5,0.61,0.67,0.97,0.34,0.67,0.81,0.6304927570178107,1746726102.8702037,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,1,,rebalancing_features_mitigation_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,FunctionTransformer,,,5.9523539543151855,success,0.006634140014648437,0.41_0.48_0.36_0.22_0.56,0.69_0.66_0.66_0.7_0.67,1.1038092613220214,0.404560781062837,0.7,0.61,0.57,0.97,0.46,0.65,0.69,0.6757549768980954,1746726014.9440553,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,50,0.5,,FunctionTransformer,,,367.3564372062683,success,0.01915712356567383,0.68_0.76_0.0_0.83_0.71,0.63_0.6_0.63_0.56_0.59,73.35226354598998,0.5973538708435695,0.78,0.76,0.83,0.83,0.63,0.85,0.83,0.6043534436823134,1746726008.7870142,,MLPClassifier,sgd,5,,10,,,,,,,invscaling,,,0.001,tanh
