rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,9,1.239776611328125e-05,already_evaluated,0.04439187049865723,0.65_0.36_0.73_0.35_0.28,0.53_0.54_0.52_0.51_0.5,51.927226543426514,0.47444975535663064,0.62,0.69,0.51,0.65,0.73,0.92,0.5180325833306757,1746701261.8677416,,RandomForestClassifier,,,,,75,2,,4,1,5,,gini,True,,
SMOTE,,8,rebalancing_features_mitigation_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,SelectKBest,,7,1.049041748046875e-05,already_evaluated,0.011478328704833984,0.22_0.17_0.26_0.26_0.2,0.75_0.75_0.75_0.76_0.75,0.1534289836883545,0.22241505978680554,0.82,0.36,0.41,0.22,1.0,0.48,0.7512267702090979,1746701261.9207683,,RandomForestClassifier,,,,,10,6,,6,1,1,,gini,False,,
SMOTE,,8,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,9.775161743164062e-06,already_evaluated,0.026289939880371094,0.0_0.03_0.0_0.0_0.0,0.75_0.75_0.75_0.76_0.75,0.941535472869873,0.0055900621118012426,0.96,0.05,0.68,0.04,0.89,0.01,0.7526046719790612,1746701262.0194898,,RandomForestClassifier,,,,,75,5,,5,1,3,,entropy,False,,
SMOTE,,7,normalization_rebalancing_mitigation_features_classification,,False,,True,RobustScaler,FunctionTransformer,,,,,SelectKBest,,6,8.821487426757812e-06,already_evaluated,0.029424381256103516,0.0_0.01_0.0_0.0_0.0,0.75_0.77_0.77_0.77_0.77,1.0831274032592773,0.002745383867832847,0.91,0.03,0.61,0.02,0.98,0.01,0.7668272410578367,1746701262.1073701,,RandomForestClassifier,,,,,100,4,,3,1,3,,entropy,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,5,8.344650268554688e-06,already_evaluated,0.018800926208496094,0.17_0.15_0.2_0.22_0.16,0.79_0.78_0.78_0.8_0.79,44.99360837936401,0.18136654523652293,0.82,0.22,0.48,0.2,1.0,0.46,0.7880539368087296,1746701262.1621163,,MLPClassifier,lbfgs,10,,1,,,,,,,adaptive,,,0.001,logistic
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,8.344650268554688e-06,already_evaluated,0.025464677810668947,0.23_0.24_0.23_0.29_0.2,0.66_0.68_0.67_0.66_0.66,1.8627604007720948,0.23868518855540244,0.37,0.24,0.45,0.32,0.95,0.79,0.6658849204631444,1746701262.234469,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.3749691486358643,0.35_0.31_0.33_0.38_0.34,0.52_0.53_0.52_0.52_0.53,0.17150473594665527,0.3421872440446195,0.54,0.34,0.97,0.63,0.95,0.71,0.520965370664285,1746701262.2939215,uniform,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,3,5.4836273193359375e-06,already_evaluated,0.6225110054016113,0.0_0.01_0.07_0.06_0.29,0.61_0.74_0.75_0.69_0.63,0.035275936126708984,0.08565889732312823,0.64,0.17,0.4,0.09,0.99,0.34,0.6852705800677538,1746701262.3540165,uniform,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,200,0.1,,FunctionTransformer,,,7.3909759521484375e-06,already_evaluated,0.03982939720153809,0.42_0.61_0.0_0.27_0.0,0.67_0.6_0.7_0.73_0.73,80.38940467834473,0.2574981282193981,0.92,0.49,0.79,0.47,0.64,0.3,0.6870577813477474,1746701262.4183426,,RandomForestClassifier,,,,,50,5,,4,4,2,,entropy,False,,
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,621.2073822021484,success,0.1841966152191162,0.12_0.04_0.1_0.1_0.12,0.8_0.79_0.8_0.81_0.79,123.7030221939087,0.09573034971843727,0.89,0.15,0.52,0.1,0.96,0.22,0.7973859346731769,1746701884.4642422,,MLPClassifier,lbfgs,10,,20,,,,,,,invscaling,,,0.001,logistic
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,10,2.0,,PCA,4,,223.1582977771759,success,0.1444493293762207,0.5_1.0_0.2_1.0_0.67,0.52_0.5_0.5_0.5_0.49,44.24200520515442,0.6758946409792685,0.85,0.87,0.75,0.75,0.89,0.92,0.5041316531331169,1746702107.6872432,,MLPClassifier,adam,25,,5,,,,,,,adaptive,,,0.001,tanh
