rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.005533266067504883,,,0.9236709594726562,-inf,-inf,-inf,-inf,-inf,-inf,1746692651.2789788,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,5.245208740234375e-06,already_evaluated,0.004227447509765625,0.52_1.0_1.0_0.64_1.0,0.53_0.5_0.5_0.52_0.5,0.14763851165771485,0.8307210031347962,0.86,1.0,1.0,0.93,0.5097619047619047,1746692651.2921274,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.004440784454345703,0.2_0.4_0.4_0.74_0.62,0.6_0.6_0.59_0.6_0.61,0.06777734756469726,0.47333855799373037,0.75,0.59,0.58,0.78,0.5988095238095238,1746692651.3039393,,MLPClassifier,lbfgs,5,,10,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.009201765060424805,1.0_1.0_1.0_0.97_1.0,0.5_0.5_0.5_0.49_0.5,0.6017557144165039,0.9949999999999999,0.99,1.0,1.0,0.99,0.4978571428571429,1746692651.3170974,,RandomForestClassifier,,,,,25,4,,6,3,1,,entropy,False,,
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,6,,4.5299530029296875e-06,already_evaluated,0.008011150360107421,0.44_0.4_0.4_0.0_0.34,0.63_0.62_0.64_0.65_0.71,0.05512590408325195,0.3160939060939061,0.73,0.41,0.76,0.68,0.65,1746692651.3326187,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
FunctionTransformer,,,features_normalization_mitigation_rebalancing_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.0062636852264404295,0.95_0.75_0.93_0.95_0.91,0.51_0.52_0.52_0.51_0.51,0.017716312408447267,0.8998432601880877,0.98,1.0,0.95,0.94,0.5161904761904761,1746692651.3505893,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,4,3.337860107421875e-06,already_evaluated,0.004378080368041992,0.8_0.75_0.93_0.83_0.91,0.54_0.56_0.51_0.52_0.53,0.017955207824707033,0.8446917450365726,0.9,0.96,0.92,0.92,0.5295238095238095,1746692651.3676176,,RandomForestClassifier,,,,,10,4,,4,1,3,,gini,True,,
SMOTE,,6,rebalancing_normalization_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,50,0.1,,PCA,4,,3.0994415283203125e-06,already_evaluated,0.008009862899780274,0.24_0.48_0.0_0.58_0.42,0.56_0.51_0.56_0.49_0.55,0.24207115173339844,0.34371980676328506,0.73,0.73,0.34,0.68,0.5335714285714286,1746692651.3853755,distance,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,PCA,1,,3.5762786865234375e-06,already_evaluated,0.006275320053100586,0.72_0.29_0.53_0.77_0.73,0.52_0.52_0.54_0.54_0.53,0.012534666061401366,0.6094734299516908,0.88,0.7,0.66,0.71,0.5302380952380952,1746692651.4041045,distance,KNeighborsClassifier,,,15,,,,euclidean,,,,,,,,
SMOTE,,6,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,0.5,,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.038685274124145505,0.85_1.0_0.97_0.83_0.83,0.54_0.5_0.5_0.51_0.52,0.8792676448822021,0.8964367816091954,0.93,1.0,0.92,0.94,0.5152380952380952,1746692651.4250302,distance,KNeighborsClassifier,,,14,,,,minkowski,,,,,,,,
