rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,1.0,,FunctionTransformer,,,59.481128454208374,fail,4.1590804100036625,nan_nan_0.0_0.32_nan,0.5_0.5_0.5_0.5_0.5,3.4490090370178224,-inf,0.17,0.83,0.33,0.12,0.14,0.11,0.4993232200615286,1746742410.4852939,uniform,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,0.5,,PCA,6,,28.575428247451782,success,0.024526548385620118,0.56_0.41_0.31_0.3_0.45,0.5_0.5_0.49_0.49_0.51,5.581244564056396,0.406288816772567,0.73,0.69,1.0,0.83,0.49,0.43,0.495982058346486,1746742350.8526075,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,2.0,200,0.1,,SelectKBest,,2,179.3068084716797,fail,0.12314605712890625,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,24.380410385131835,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746742322.1243033,,MLPClassifier,lbfgs,25,,5,,,,,,,invscaling,,,0.001,logistic
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,10,0.5,,PCA,8,,37.17609786987305,fail,1.9547669887542725,0.0_nan_0.0_nan_nan,0.5_0.5_0.5_0.5_0.5,3.355347013473511,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.5000600014990246,1746742142.6868906,uniform,KNeighborsClassifier,,,10,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,50,0.1,,FunctionTransformer,,,25.729307174682617,fail,0.0381352424621582,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.998022842407226,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746742105.3845353,,MLPClassifier,lbfgs,5,,5,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,2,22.037938833236694,fail,0.39188575744628906,nan_0.0_0.0_nan_0.0,0.5_0.5_0.5_0.5_0.5,3.1155044555664064,-inf,0.31,0.25,0.0,0.0,0.0,0.0,0.500105030769625,1746742079.5284107,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,5,128.7178249359131,success,0.025730419158935546,0.1_0.03_0.12_0.03_0.05,0.74_0.74_0.75_0.74_0.74,25.613133478164674,0.06574257630706297,0.59,0.14,0.43,0.07,1.0,0.34,0.7413670987797151,1746742057.3676534,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,1e-05,tanh
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,29.496819257736206,success,0.04671292304992676,0.24_0.28_0.49_0.19_0.35,0.51_0.51_0.51_0.5_0.51,5.716568040847778,0.30952204808510164,0.65,0.7,0.48,0.6,0.79,0.65,0.5077805662687676,1746741928.521367,,RandomForestClassifier,,,,,100,3,,5,4,1,,entropy,False,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,4,4.461406469345093,success,0.016395711898803712,0.11_0.11_0.44_0.25_0.46,0.7_0.71_0.66_0.67_0.65,0.741064453125,0.27436302121708633,0.49,0.27,0.75,0.57,1.0,0.76,0.6762802302810476,1746741898.887586,,RandomForestClassifier,,,,,50,2,,5,4,1,,entropy,True,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,1.0,,PCA,4,,18.188079833984375,success,0.027956581115722655,0.65_0.74_0.56_0.71_0.53,0.53_0.5_0.5_0.5_0.5,3.492724800109863,0.636593849469106,0.85,0.88,0.72,0.91,0.76,0.78,0.5058641409122384,1746741892.8387246,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
