rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,9,101.85473370552063,success,0.02246379852294922,0.42_0.83_0.95_0.83_0.59,0.63_0.5_0.5_0.51_0.53,16.093700170516968,0.7239080459770115,0.82,0.97,0.76,0.89,0.5347619047619048,1746734593.2607126,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,74.7803807258606,success,0.09396028518676758,1.0_0.75_0.99_1.0_0.9,0.5_0.53_0.5_0.5_0.53,14.763141059875489,0.9268103448275863,0.93,0.98,0.95,0.95,0.5116666666666666,1746734491.2894886,uniform,KNeighborsClassifier,,,10,,,,euclidean,,,,,,,,
SMOTE,,7,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,1.0,,FunctionTransformer,,,73.31512761116028,success,0.08057279586791992,0.86_0.27_0.97_0.97_1.0,0.53_0.49_0.51_0.49_0.5,14.457225656509399,0.8138505747126438,0.91,0.85,1.0,0.87,0.505,1746734414.7930005,uniform,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,0.5,,PCA,6,,60.2146520614624,fail,0.007723236083984375,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,11.99251184463501,-inf,-inf,-inf,-inf,-inf,0.5,1746734341.3214092,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,2.0,200,0.1,,SelectKBest,,2,188.3980152606964,success,0.009337997436523438,1.0_1.0_0.97_0.83_0.83,0.5_0.5_0.5_0.52_0.54,14.798998975753785,0.9252873563218392,0.93,1.0,0.93,0.96,0.5119047619047619,1746734280.9766526,,MLPClassifier,lbfgs,25,,5,,,,,,,invscaling,,,0.001,logistic
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,10,0.5,,PCA,8,,51.83178472518921,success,0.019781017303466798,1.0_1.0_0.97_1.0_1.0,0.5_0.5_0.5_0.5_0.5,10.303117656707764,0.993103448275862,0.99,1.0,1.0,1.0,0.5002380952380953,1746734092.4620984,uniform,KNeighborsClassifier,,,10,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,50,0.1,,FunctionTransformer,,,70.40120601654053,success,0.008954191207885742,1.0_0.75_0.97_1.0_0.83,0.5_0.57_0.5_0.5_0.54,14.02594838142395,0.9086206896551724,0.93,1.0,0.92,0.93,0.5223809523809524,1746734040.5161803,,MLPClassifier,lbfgs,5,,5,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,2,80.7301459312439,fail,0.008036422729492187,,,12.832845306396484,-inf,-inf,-inf,-inf,-inf,-inf,1746733969.996026,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,5,1.1427536010742188,success,0.0052982807159423825,0.5_0.58_0.31_0.63_0.42,0.68_0.69_0.61_0.63_0.64,0.1883162498474121,0.48948412698412697,0.79,0.82,0.49,0.83,0.6519047619047619,1746733889.1666517,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,1e-05,tanh
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,61.07465434074402,success,0.01794013977050781,0.42_0.4_0.73_0.83_0.0,0.56_0.5_0.55_0.52_0.52,12.152229976654052,0.47545454545454546,0.7,0.88,0.65,0.75,0.5288095238095238,1746733887.912345,,RandomForestClassifier,,,,,100,3,,5,4,1,,entropy,False,,
