rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.0013580322265625e-05,already_evaluated,0.11579070091247559,0.07_0.01_0.21_0.11_0.03,0.76_0.76_0.75_0.75_0.76,74.5565050125122,0.08620140716669764,0.69,0.2,0.41,0.09,0.99,0.27,0.753157298194291,1746716477.0464466,,MLPClassifier,lbfgs,25,,10,,,,,,,invscaling,,,1e-05,relu
SMOTE,,8,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.049041748046875e-05,already_evaluated,0.00980067253112793,0.12_0.14_0.13_0.13_0.14,0.53_0.53_0.53_0.53_0.54,0.13903584480285644,0.13294619999802312,0.57,0.13,0.99,0.7,1.0,1.0,0.5325713718284333,1746716477.1031644,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,100,1.0,,SelectKBest,,6,2.1457672119140625e-05,already_evaluated,0.02717618942260742,0.56_0.66_0.6_0.83_0.67,0.51_0.5_0.5_0.5_0.51,4.440279960632324,0.6622601089993909,0.85,0.87,0.81,0.9,0.73,0.76,0.5045265870082027,1746716477.1557305,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,5,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,100,0.5,,PCA,4,,7.62939453125e-06,already_evaluated,0.20296916961669922,0.51_0.4_0.72_0.36_0.36,0.53_0.51_0.51_0.51_0.5,13.10214467048645,0.4694139331329862,0.75,0.8,0.56,0.75,0.77,0.66,0.5118315725973347,1746716477.210061,,MLPClassifier,adam,50,,10,,,,,,,adaptive,,,0.01,tanh
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,1.5020370483398438e-05,already_evaluated,0.18689970970153807,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.076295232772827,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746716477.268378,,MLPClassifier,adam,25,,5,,,,,,,invscaling,,,0.001,logistic
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,1.0,,SelectKBest,,3,7.152557373046875e-06,already_evaluated,0.11636500358581543,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,6.128555583953857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746716477.3256726,,MLPClassifier,sgd,5,,20,,,,,,,constant,,,1e-05,logistic
NearMiss,3,,mitigation_features_normalization_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,7.62939453125e-06,already_evaluated,1.945126724243164,0.0_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.387819576263428,-inf,0.9,0.39,0.0,0.0,0.07,0.0,0.49965431726901094,1746716477.3819745,uniform,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_mitigation_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.9604644775390625e-06,already_evaluated,0.048429012298583984,0.44_0.65_0.78_0.5_0.31,0.52_0.5_0.51_0.5_0.49,7.543548583984375,0.5357384451804379,0.82,0.84,0.66,0.78,0.78,0.83,0.5055908814953554,1746716477.4402368,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,100,1.0,,PCA,4,,4.76837158203125e-06,already_evaluated,1.7552024364471435,0.12_0.24_0.36_0.48_0.0,0.49_0.5_0.52_0.51_0.5,4.336163473129273,0.23985805053515813,0.5,0.53,0.44,0.37,0.46,0.42,0.5030891885665982,1746716477.4993472,uniform,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,2.0,,PCA,3,,4.0531158447265625e-06,already_evaluated,0.026394987106323244,0.37_0.74_0.42_0.48_0.64,0.52_0.5_0.53_0.5_0.51,3.120438051223755,0.5289421168188821,0.76,0.83,0.62,0.8,0.83,0.76,0.5119150003911397,1746716477.5612922,,RandomForestClassifier,,,,,25,4,,3,4,4,,gini,False,,
