rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,7.3909759521484375e-06,already_evaluated,0.02752509117126465,0.42_0.25_0.0_0.54_0.21,0.63_0.64_0.62_0.62_0.67,80.49480924606323,0.2849757846805574,0.53,0.6,0.68,0.8,0.3,0.68,0.7,0.6366176035546823,1746712125.858028,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,8.58306884765625e-06,already_evaluated,0.2766068935394287,0.0_0.0_0.0_0.41_0.0,0.51_0.53_0.52_0.51_0.51,64.66897339820862,0.08135048231511254,0.61,0.5,0.49,0.59,0.18,0.65,0.46,0.5161259390195657,1746712125.8857212,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,1.3589859008789062e-05,already_evaluated,0.018859243392944335,0.56_0.64_0.61_0.27_0.54,0.65_0.62_0.61_0.61_0.61,67.09518747329712,0.5254439849722675,0.73,0.72,0.77,0.85,0.53,0.82,0.77,0.6232198832649185,1746712125.9174943,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,8.821487426757812e-06,already_evaluated,1.0405550956726075,0.09_0.19_0.1_0.1_0.3,0.67_0.66_0.65_0.68_0.66,0.03135337829589844,0.15548483885797598,0.4,0.39,0.5,1.0,0.16,0.43,0.42,0.6656167307347565,1746712125.945313,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,6.198883056640625e-06,already_evaluated,0.016274309158325194,0.26_0.39_0.0_0.3_0.25,0.68_0.7_0.69_0.69_0.67,1.4091583251953126,0.23911797852199515,0.51,0.6,0.58,0.99,0.25,0.6,0.67,0.6868281492474073,1746712125.973012,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.5,PCA,4,,4.0531158447265625e-06,already_evaluated,0.007017707824707032,0.36_0.07_0.0_0.16_0.41,0.65_0.65_0.63_0.64_0.65,0.26685614585876466,0.19890471288773892,0.44,0.53,0.55,1.0,0.27,0.41,0.38,0.6434341322740952,1746712126.0014775,,RandomForestClassifier,,,,,10,6,,4,2,3,,gini,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,100,1.0,,PCA,6,,8.106231689453125e-06,already_evaluated,0.02194061279296875,0.43_0.64_0.61_0.27_0.54,0.63_0.63_0.61_0.61_0.61,4.707325220108032,0.500156338915627,0.7,0.71,0.75,0.83,0.51,0.79,0.73,0.6192892109523156,1746712126.03482,,RandomForestClassifier,,,,,50,6,,6,3,4,,entropy,False,,
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,PCA,5,,9.298324584960938e-06,already_evaluated,0.008116960525512695,0.47_0.2_0.0_0.16_0.29,0.65_0.68_0.65_0.64_0.67,0.5024302959442138,0.22248812398428602,0.48,0.68,0.62,0.9,0.29,0.63,0.59,0.6581348535295011,1746712126.0645597,,RandomForestClassifier,,,,,25,6,,3,2,4,,entropy,False,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.75,PCA,4,,7.62939453125e-06,already_evaluated,0.012025976181030273,0.34_0.27_0.0_0.31_0.38,0.66_0.66_0.64_0.64_0.65,0.5439362049102783,0.26191554465399436,0.58,0.65,0.57,0.95,0.34,0.49,0.48,0.6479005883477964,1746712126.1093247,,RandomForestClassifier,,,,,50,6,,6,1,5,,gini,False,,
NearMiss,3,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,2.0,,FunctionTransformer,,,5.7220458984375e-06,already_evaluated,0.5194848060607911,nan_0.0_0.0_0.0_0.0,0.5_0.51_0.51_0.5_0.51,4.015391492843628,-inf,0.19,0.16,0.32,0.38,0.2,0.21,0.56,0.5051606328472218,1746712126.141023,uniform,KNeighborsClassifier,,,6,,,,manhattan,,,,,,,,
